B1056_1 	Pen01_Lft_AP100_ML1300__Site03_Z2500__B1056_cat_P01_S03_1	msKP011316
B1056_6		Pen01_Lft_AP100_ML1300__Site05_Z3500__B1056_cat_P01_S05_1	msKP011516
B1056_6		Pen01_Lft_AP100_ML1300__Site03_Z2500__B1056_cat_P01_S03_1	msKP011516
B1056_6		Pen01_Lft_AP100_ML1300__Site02_Z1150__B1056_cat_P01_S02_1	msKP011516
